year,inflation,Trade_to_GDP,Exports_to_GDP,Imports_to_GDP,population,Exports_USD_current,Exports_USD_constant,Imports_USD_current,Imports_USD_constant,iso3c,IncomeGroup
2005,3.31717824448043,82.2427947494749,36.7288249648445,45.5139697846304,4310145,16670022860.2165,20992997480.2646,20657315269.2799,24590718064.8912,HRV,High income
2006,3.1898259147295,84.3708852630052,37.9158123749553,46.4550728880499,4311159,19130384865.8282,22661553025.9185,23438860139.1412,26621550178.3901,HRV,High income
2007,2.89928275583392,84.0676052707724,37.8273089059994,46.240296364773,4310217,22765600820.3598,23795665663.2449,27828787172.5552,28233948247.486,HRV,High income
2008,6.07696838798351,83.0376033353406,36.4012076074192,46.6363957279215,4309705,25586012568.4168,23292583420.1797,32780214879.3837,29319007558.8494,HRV,High income
2009,2.37852845904674,70.9422052974446,32.6639775941528,38.2782277032918,4305181,20469260936.2863,20073146288.9284,23987495974.0826,23354696036.866,HRV,High income
2001,3.7767024666589,79.6808759877593,37.2369272366842,42.4439487510751,4299642,8631445183.71996,16715688599.7829,9838422346.10082,16826006326.3327,HRV,High income
2002,1.67178437393382,81.9334174383531,36.2101008454876,45.7233165928655,4302174,9709999110.73847,17521699735.4485,12261036370.7967,19884885415.6212,HRV,High income
1989,1400,,,,4767260,,,,,HRV,High income
1990,500,,,,4777368,,,,,HRV,High income
1991,122.222222222222,,,,4689022,,,,,HRV,High income
1992,625.000000000001,,,,4575818,,,,,HRV,High income
1993,1500,,,,4600463,,,,,HRV,High income
1994,107.327586206896,,,,4652024,,,,,HRV,High income
1995,3.95010395010403,63.4212339631523,27.5749352727074,35.8462986904449,4620030,6181597461.1914,10607169098.5364,8035826259.84553,11437968868.4901,HRV,High income
1996,4.29999999999994,67.8965031230985,30.6879354021533,37.2085677209453,4557097,7276195208.12631,12383460720.5095,8822255345.77307,12589384860.8846,HRV,High income
1997,4.17066155321187,75.4426887878938,31.2759467038287,44.1667420840651,4534920,7460815504.98328,13212592990.0816,10535889361.4258,16247332810.0131,HRV,High income
1998,6.39668660837554,65.673276582878,29.4453409192586,36.2279356636193,4532135,7498860654.06314,13183855522.5571,9226187669.91969,14498774278.5419,HRV,High income
1999,4.01913875598084,66.9289592662297,30.4396420562298,36.4893172099999,4512597,7123022624.68889,13374861311.68,8538675703.41831,14037741509.1888,HRV,High income
2000,4.611315547378,75.0279309675822,35.2485465861779,39.7793843814043,4468302,7638063713.35033,15205197533.1989,8619858173.16405,15038651018.7864,HRV,High income
1960,,,,,4140181,,,,,HRV,High income
1961,,,,,4167292,,,,,HRV,High income
1962,,,,,4196712,,,,,HRV,High income
1963,,,,,4225675,,,,,HRV,High income
1964,,,,,4252876,,,,,HRV,High income
1965,,,,,4280923,,,,,HRV,High income
1966,,,,,4310701,,,,,HRV,High income
1967,,,,,4338683,,,,,HRV,High income
1968,,,,,4365628,,,,,HRV,High income
2010,1.03055505333573,74.1970937662131,36.1773859709839,38.0197077952292,4295427,21636958894.1433,21636958894.1433,22738814114.2234,22738814114.2234,HRV,High income
2011,2.27272727272727,79.7302520776388,38.8644501984906,40.8658018791482,4280622,24233630868.8411,22131246698.639,25481558412.3954,23379214382.7219,HRV,High income
2012,3.41207349081366,80.7531344040442,39.5251693295259,41.2279650745183,4267558,22329521562.9968,21805432087.3137,23291506418.4743,22712690501.0647,HRV,High income
2013,2.2165820642978,83.0231113819035,40.4345774315983,42.5885339503051,4255689,23475082823.5377,22356606288.9044,24725604305.0711,23469261429.6315,HRV,High income
2014,-0.215196159576215,86.9816093785651,43.3005334656434,43.6810759129216,4238389,24959674332.8346,24012146738.0902,25179029957.204,24225916845.9511,HRV,High income
2015,-0.464499004645002,92.5398319262423,46.3797494289749,46.1600824972674,4203604,22972194275.5493,26492649245.0599,22863391802.6333,26496035172.8647,HRV,High income
2016,-1.12500000000001,94.1491083914939,47.6333169784209,46.515791413073,4174349,24577328827.5051,28361257248.9578,24000719952.9827,28223944897.5572,HRV,High income
2017,1.12937210282344,99.4381131693403,50.0289962969341,49.4091168724062,4124531,27675850720.1304,30313622611.3928,27332935777.0464,30582809159.9877,HRV,High income
2018,1.50012501041753,101.878193392406,50.5166501106333,51.3615432817724,4089400,30800860009.5557,32556641646.245,31316005733.397,33572458984.6507,HRV,High income
2019,,,,,,,,,,HRV,High income
1979,,,,,4594778,,,,,HRV,High income
1980,,,,,4599782,,,,,HRV,High income
1981,,,,,4611509,,,,,HRV,High income
1982,,,,,4634234,,,,,HRV,High income
1983,,,,,4658254,,,,,HRV,High income
1984,,,,,4680285,,,,,HRV,High income
1985,,,,,4701417,,,,,HRV,High income
1986,50,,,,4721446,,,,,HRV,High income
1987,133.333263744315,,,,4739745,,,,,HRV,High income
1988,185.714285714285,,,,4755207,,,,,HRV,High income
1975,,,,,4512082,,,,,HRV,High income
1976,,,,,4535934,,,,,HRV,High income
1977,,,,,4559571,,,,,HRV,High income
1978,,,,,4581085,,,,,HRV,High income
1970,,,,,4412252,,,,,HRV,High income
1971,,,,,4431275,,,,,HRV,High income
1972,,,,,4450564,,,,,HRV,High income
1969,,,,,4391490,,,,,HRV,High income
1974,,,,,4490660,,,,,HRV,High income
1973,,,,,4470161,,,,,HRV,High income
1975,16.7735703245817,,,,5094577,,,,,HTI,Low income
1976,7.03815227823618,,,,5191632,,,,,HTI,Low income
1974,14.9506973439721,,,,5003710,,,,,HTI,Low income
1970,1.36849340736669,,,,4676230,,,,,HTI,Low income
1971,9.57958328225631,,,,4757182,,,,,HTI,Low income
1972,3.18969396917933,,,,4837332,,,,,HTI,Low income
1973,22.7389194789195,,,,4918625,,,,,HTI,Low income
1987,-11.4494646121705,,,,6618744,,,,,HTI,Low income
1988,4.10546805875063,48.7783590573386,16.3021321025516,32.476226954787,6758223,426125800,429267403.491503,848904800,822926709.581894,HTI,Low income
1989,6.92390503711237,40.5631325688157,13.0154191669617,27.547713401854,6897755,356133600,472315273.924074,753772600,726041263.129281,HTI,Low income
1977,6.49190058113335,,,,5294619,,,,,HTI,Low income
1978,-2.67359498369295,,,,5404019,,,,,HTI,Low income
1979,13.0939242998194,,,,5520187,,,,,HTI,Low income
1980,17.7783052456577,,,,5643173,,,,,HTI,Low income
1981,10.8583333329997,,,,5773366,,,,,HTI,Low income
1982,7.35924227605049,,,,5910227,,,,,HTI,Low income
1983,10.2436633526545,,,,6051622,,,,,HTI,Low income
1984,6.40203239106073,,,,6194687,,,,,HTI,Low income
1985,10.6488390138928,,,,6337273,,,,,HTI,Low income
1986,3.27992663366621,,,,6478541,,,,,HTI,Low income
1960,-5.0300415959369,,,,3866159,,,,,HTI,Low income
1961,3.77970638342674,,,,3941944,,,,,HTI,Low income
1962,-0.554904259869536,,,,4019173,,,,,HTI,Low income
1963,4.30682175435956,,,,4097755,,,,,HTI,Low income
1964,9.16214587129444,,,,4177637,,,,,HTI,Low income
1965,2.26394257289727,,,,4258732,,,,,HTI,Low income
1966,8.30183585332305,,,,4341318,,,,,HTI,Low income
1967,-2.93531098100655,,,,4425303,,,,,HTI,Low income
1968,1.31621187827357,,,,4509813,,,,,HTI,Low income
1969,1.41318124201974,,,,4593669,,,,,HTI,Low income
2008,15.2817744823772,56.9224629873499,12.731154475438,44.1913085119119,9646580,833703543.037532,1043709048.98642,2893881348.22535,3856697824.04973,HTI,Low income
2009,0.393886040173338,58.2843064058534,15.7100194116769,42.5742869941765,9798046,1034449701.9603,1275910359.68752,2803367541.32612,4081989415.50315,HTI,Low income
2010,4.82734190074673,80.091177440139,15.3420839701519,64.7490934699871,9949322,1016035882.27122,1016035882.27122,4288035604.42178,4288035604.42178,HTI,Low income
2011,6.33279483849046,76.4239534561208,17.4499924055816,58.9739610505392,10100320,1311686990.10427,1222748714.95222,4432974849.90109,4292494835.73261,HTI,Low income
2012,5.01804155429241,70.0642436925996,16.9062990640361,53.1579446285634,10250930,1334016383.58563,1248335975.9176,4194505774.66076,4048788150.61446,HTI,Low income
2013,4.76502404779137,70.2754552547473,18.1853211686113,52.090134086136,10400673,1543038541.18116,1310591595.11685,4419888093.5321,4178687497.49525,HTI,Low income
2014,3.43816659958603,71.2575304454592,18.5191947674337,52.7383356780255,10549008,1625141740.50619,1370026571.37503,4628023610.71894,4288811122.91062,HTI,Low income
2015,6.73184069659,70.5516896261956,20.0073646741132,50.5443249520824,10695542,1745573767.79091,1419992246.33106,4409818543.52916,4382261100.81591,HTI,Low income
2016,11.5029073942667,73.3418950483363,20.7218440105401,52.6200510377962,10839970,1651665479.60181,1429461547.63322,4194159640.89908,4419098229.03584,HTI,Low income
2017,10.6800887242583,75.3162642144528,18.8354520272975,56.4808121871552,10982366,1583966848.97698,1412134740.99524,4749752433.76651,4509640012.60797,HTI,Low income
2018,12.4814111170435,75.5493840643663,17.0764528740146,58.4729311903517,11123176,1649366968.6343,1440140642.84024,5647737382.94041,4579047870.40925,HTI,Low income
2019,,,,,,,,,,HTI,Low income
1993,29.7059715065173,48.7522666436404,10.8453501424747,37.9069165011657,7460689,203702652.513441,393385742.721355,711986181.953826,1021722983.29555,HTI,Low income
1994,39.3316195372752,31.1336399762195,6.42072655589975,24.7129134203198,7602320,139173369.867473,260927262.246606,535668262.774515,835874126.468822,HTI,Low income
1995,27.6081851727601,37.8478190633142,9.13356386088413,28.7142552024301,7744503,256955764.92692,352690674.919726,807821954.521593,1413921974.12464,HTI,Low income
1996,20.5835962145112,40.223379852938,11.3276309301777,28.8957489227603,7887304,329352514.398265,448975759.554422,840148096.437209,1874532979.46349,HTI,Low income
1997,20.5590073395833,36.8940488093915,10.4525423101137,26.4415064992779,8030726,349003993.916387,513077147.051955,882865727.745972,2009797053.04269,HTI,Low income
1998,5.269035470422,36.5207867041288,9.90047145102148,26.6203152531073,8174680,368684569.868002,632502584.900662,991316375.931761,2142387061.32052,HTI,Low income
1999,3.00439421550734,41.9484795102088,12.2491119646519,29.6993675455569,8319057,508795815.914639,736767087.088587,1233633424.70026,2628847532.60162,HTI,Low income
2000,9.33322197565604,46.1098221191029,12.6952822892498,33.4145398298531,8463806,501951950.421479,783313739.851054,1321159550.28693,3398092406.46284,HTI,Low income
2001,13.31672224251,48.5029171528588,12.3617269544924,36.1411901983664,8608819,444582464.297854,766290958.227224,1299797306.65447,3327452017.12725,HTI,Low income
2002,7.03287406224597,48.1282171268133,12.1272386948569,36.0009784319564,8754150,421081007.226656,750332102.973314,1250023079.50798,3288454953.58813,HTI,Low income
1990,21.2760320067832,46.4148543201609,11.9101836010311,34.5046707191297,7037917,368773800,473913669.5779,1068364600,920747468.934906,HTI,Low income
1991,15.4199073669492,39.8074901808928,10.3114454832107,29.4960446976821,7178607,358172245.494024,426899332.710331,1024557088.50544,777935644.25456,HTI,Low income
1992,19.358494654122,32.5376884422111,7.5715114031697,24.9661770390414,7319493,170898224.490686,321836890.781827,563516991.667757,691919263.108316,HTI,Low income
2006,11.3452152244299,59.5176982621311,14.4888352321724,45.0288630299587,9344785,689118570.952939,946360037.981809,2141664615.93395,3646782224.40696,HTI,Low income
2007,6.55722772638073,52.1816364545,13.2397437644814,38.9418926900186,9495328,779202027.818331,918698012.806222,2291857175.70682,3663495248.8683,HTI,Low income
2003,28.6995777887374,63.6809231951101,15.8202374789158,47.8606857161943,8900104,468327458.434888,804060253.695882,1416822808.77824,3392744237.08417,HTI,Low income
2004,21.0318339277221,59.3637587525911,15.353985767913,44.0097729846781,9047077,543181067.915903,882524616.966169,1556942662.96062,3356644103.47215,HTI,Low income
2005,13.973008326384,56.9797958758592,14.0399321569911,42.9398637188681,9195288,605171352.349682,882790603.595511,1850861892.05828,3579261610.23624,HTI,Low income
2007,7.95874516544909,155.346864986064,77.9422800396353,77.4045849464283,10055780,109092692856.886,101288254917.585,108340102534.611,100692369139.656,HUN,High income
2004,6.74434679569463,123.267702550645,59.6543880981468,63.6133144524978,10107146,62016712553.355,64666060236.7926,66132413100.5426,70880388117.6961,HUN,High income
2005,3.56151711378355,127.593088302729,62.6425760409987,64.9505122617302,10087065,70774176092.5933,72992025530.2659,73381704307.7424,76458533533.0263,HUN,High income
2006,3.93032603841,148.867502410626,73.8689140152455,74.9985883953804,10071370,85375664242.5971,87238957791.4871,86681310898.807,88289631805.1742,HUN,High income
2011,3.92992098935075,167.053993498805,86.5856413001741,80.4683521986314,9971727,122180632165.328,114073200823.996,113548551391.41,104547724788.223,HUN,High income
2008,6.0425125388106,158.195277169557,79.2756977025513,78.9195794670057,10038188,125363676136.591,108066097265.176,124800523840.981,106739684791.648,HUN,High income
2009,4.21171171171172,144.768073219014,74.3996204739661,70.3684527450478,10022650,97285176510.823,96477307450.1122,92014008975.9056,91220705903.7321,HUN,High income
2010,4.85555795691951,158.204304357991,81.750413245871,76.4538911121196,10000023,107203863216.488,107203863216.488,100258239190.808,100258239190.808,HUN,High income
2002,5.26544821583986,118.320109162292,58.1369735753857,60.1831355869059,10158608,39305779457.5653,51627592984.7609,40689167477.4968,55209261712.7539,HUN,High income
2003,4.66101694915256,116.60617427443,56.3331580938058,60.2730161806239,10129552,48053312718.7017,54854105680.0072,51414090617.8906,60418533971.9034,HUN,High income
1990,28.3695996532776,,,,10373988,,,,,HUN,High income
1991,34.8175429072704,58.3612839226124,28.7680105301124,29.5932733924999,10373400,9997910588.07788,14572577381.6104,10284718892.0854,14003642787.982,HUN,High income
1992,23.6557207806553,55.4413551772941,27.6146794200781,27.8266757572161,10369341,10695327139.589,14878841048.6731,10777434563.0935,14038226989.2436,HUN,High income
1993,22.4642346133809,53.5610134083977,23.1917550547079,30.3692583536898,10357523,9305672453.77672,13370225382.0809,12185639691.2139,16880180711.156,HUN,High income
1994,18.8680749869282,56.4601800583607,25.4007226347856,31.0594574235751,10343355,10964648335.2153,15204620122.5803,13407336201.7547,18373134588.2208,HUN,High income
1995,28.3054683706654,78.3847053096873,39.1884804598934,39.196224849794,10328965,18193517647.2179,20740878862.8433,18197113032.7156,21138632843.4552,HUN,High income
1996,23.4690301919185,83.2922066662408,41.8827893497962,41.4094173164446,10311238,19541988133.3825,22642017661.2109,19321118635.3848,22627996453.0057,HUN,High income
1997,18.3050744143798,94.8487191212692,47.9054191719791,46.9432999492901,10290486,22657803556.0943,27792478375.8649,22202750480.2205,28064388453.003,HUN,High income
1998,14.1537896545341,107.42990062644,52.9301860857864,54.4997145406537,10266570,25780593157.6102,32094471188.314,26545060043.8336,34399695382.2419,HUN,High income
1999,9.99774409303364,114.025774849784,55.6436554579462,58.3821193918374,10237530,27306222585.4306,35881995652.0673,28650079402.6291,38961839520.7279,HUN,High income
2000,9.80361016908127,137.40660123512,66.8578897770738,70.5487114580459,10210971,31569229766.0494,44853982797.2149,33311976928.1364,47993343079.8796,HUN,High income
2001,9.11680911680913,131.045068739569,64.8773208127959,66.167747926773,10187576,34871552860.0724,48815640733.4444,35565157293.0756,50800690299.826,HUN,High income
1960,,,,,9983967,,,,,HUN,High income
1961,,,,,10029321,,,,,HUN,High income
1962,,,,,10061734,,,,,HUN,High income
1963,,,,,10087947,,,,,HUN,High income
1964,,,,,10119835,,,,,HUN,High income
1965,,,,,10147935,,,,,HUN,High income
1966,,,,,10178653,,,,,HUN,High income
1967,,,,,10216604,,,,,HUN,High income
1968,,,,,10255815,,,,,HUN,High income
1969,,,,,10298723,,,,,HUN,High income
2012,5.65214517088651,165.870140422554,86.3220792618396,79.5480611607141,9920362,110624931420.638,112129647414.934,101943777140.213,100917217944.556,HUN,High income
2013,1.73319984983107,164.177266887875,85.5844507720237,78.5928161158511,9893082,115889090055.656,116730320110.494,106421784125.707,105232164132.204,HUN,High income
2014,-0.227566270988384,168.489687837063,87.4179243002308,81.071763536832,9866468,122873573562.815,127466921442.691,113953487005.682,116765994221.311,HUN,High income
2015,-0.0616446800641176,167.971261574318,87.9793891678772,79.9918724064404,9843028,109560505848.764,136855339656.521,99613671878.4961,123783083237.691,HUN,High income
2016,0.394769306686402,165.55546947433,87.1517391095897,78.4037303647401,9814023,111124980759.44,142061567729.557,99970615816.3327,127981762702.697,HUN,High income
2017,2.34824281150159,166.997293513535,87.143096211555,79.8541973019801,9787966,123316703510.264,151796930015.683,113002140167.618,138471411021.723,HUN,High income
2018,2.85024792594642,165.503988872482,84.9389143286366,80.5650745438455,9768785,134104032024.277,158365128022.859,127198486371.795,147871349211.696,HUN,High income
2019,,,,,,,,,,HUN,High income
1978,4.68714274853112,,,,10684822,,,,,HUN,High income
1979,8.976412347003,,,,10704152,,,,,HUN,High income
1980,9.28585743921339,,,,10711122,,,,,HUN,High income
1981,4.66141394394749,,,,10711848,,,,,HUN,High income
1982,6.83580508259544,,,,10705535,,,,,HUN,High income
1983,7.27989573279489,,,,10689463,,,,,HUN,High income
1984,8.46785487646024,,,,10668095,,,,,HUN,High income
1985,6.94234501879142,,,,10648713,,,,,HUN,High income
1986,5.29166170071089,,,,10630564,,,,,HUN,High income
1987,8.67431417733246,,,,10612741,,,,,HUN,High income
1988,15.7235490703556,,,,10596487,,,,,HUN,High income
1989,17.149151997396,,,,10481719,,,,,HUN,High income
1976,5.22839833308662,,,,10598677,,,,,HUN,High income
1977,3.90889569564824,,,,10648031,,,,,HUN,High income
1973,3.38797814176706,,,,10432055,,,,,HUN,High income
1970,,,,,10337910,,,,,HUN,High income
1971,,,,,10367537,,,,,HUN,High income
1972,,,,,10398489,,,,,HUN,High income
1974,1.79704016823477,,,,10478720,,,,,HUN,High income
1975,3.84215991793813,,,,10540525,,,,,HUN,High income
1974,40.4917904384715,50.4183787822189,28.9979454613373,21.4204333208816,127422211,7482168674.6988,31676789788.6341,5526987951.80723,12698439579.4423,IDN,Lower middle income
1977,11.0520897946254,43.5701999400338,23.4909813946883,20.0792185453455,137278058,10760963855.4217,39364629750.1682,9198072289.15663,18094325349.2108,IDN,Lower middle income
1978,8.11258259525912,42.7147630352589,21.8671414754243,20.8476215598347,140621730,11251894892.7774,40093687973.1794,10727293588.8438,20917046190.4165,IDN,Lower middle income
1975,19.1656971335588,44.5212576626458,22.547755586316,21.9735020763298,130680727,6868915662.6506,28593528077.699,6693975903.61446,13699706594.8111,IDN,Lower middle income
1976,19.8286536956641,43.0065883478699,22.1740901420471,20.8324982058228,133966941,8264096385.54217,32168847660.518,7764096385.54217,14809013060.1695,IDN,Lower middle income
1972,6.5217492128302,35.4119193689746,16.5162138475022,18.8957055214724,121017314,1816385542.16867,24498184421.495,2078072289.15663,8247368551.44188,IDN,Lower middle income
1973,31.0418812711131,39.5341605709717,20.0536026297865,19.4805579411852,124199687,3263373493.9759,30568531003.8081,3170120481.92771,10009626788.9233,IDN,Lower middle income
1987,9.2786561316159,46.9742478782921,24.5768000967818,22.3974477815104,171702763,18661070326.1201,44943068724.2488,17006296447.4817,46224585374.7038,IDN,Lower middle income
1988,8.04536715123097,47.2545614222743,25.041659395038,22.2129020272362,174975954,21110162562.0037,45415633619.0487,18725515165.41,37583122416.9259,IDN,Lower middle income
1989,6.41553963494968,49.0818836891175,26.0875546625977,22.9943290265198,178209150,24640067882.5837,50159961711.3961,21718472101.1905,42635513548.0616,IDN,Lower middle income
1990,7.81919144730541,52.8918614376893,27.3057589781449,25.5861024595444,181413402,28982531189.7617,50386206300.8482,27157275252.8765,52489805422.0694,IDN,Lower middle income
1991,9.41905827724153,54.8395648805761,28.3512610672578,26.4883038133183,184591903,33063806609.367,60403115670.5038,30891188671.1508,61322551949.0584,IDN,Lower middle income
1979,16.2327657550178,53.6555359183648,30.0658227531897,23.5897131651751,144009845,15453888931.6105,41125203787.1616,12125156533.2431,25137432310.6798,IDN,Lower middle income
1980,18.0354301616893,52.6540464774445,30.4741702735352,22.1798762039093,147447836,22088390908.4785,38807114638.4518,16076492698.4434,28937834090.1528,IDN,Lower middle income
1981,12.2659085141911,53.1773002387695,27.6304440372406,25.5468562015289,150938232,23629067635.2529,37879427549.7297,21847220125.757,36768411690.6067,IDN,Lower middle income
1982,9.44542395353453,48.6762274326459,22.379034286615,26.2971931460309,154468229,20176590282.7474,32599962584.9628,23709141551.7909,39785907878.2636,IDN,Lower middle income
1983,11.7997405215176,56.5592366644233,27.7454082629556,28.8138284014676,158009246,22488286937.0563,34647194189.5113,23354265855.6749,44691811917.1063,IDN,Lower middle income
1984,10.45503482319,50.1106199773017,27.3149786111736,22.795641366128,161523347,23177770004.1644,36912956941.4914,19342945136.534,41333646684.7295,IDN,Lower middle income
1985,4.72453615680209,44.7183723110447,23.7776707966994,20.9407015143453,164982451,20279854572.5697,34032178997.6392,17860217890.5372,43514962529.3769,IDN,Lower middle income
1986,5.82266696175201,41.0095381677863,20.4956024570461,20.5139357107403,168374287,16387068862.1352,39209269695.9121,16401727045.0983,45328740658.8859,IDN,Lower middle income
1960,39.5904436860068,24.0902101486417,11.5325474115838,12.5576627370579,87751068,,11273500795.7321,,3454026145.47538,IDN,Lower middle income
1961,13.6919315403424,24.6756009359711,11.0614762816422,13.6141246543289,90098394,,12292451829.1884,,4652361746.96975,IDN,Lower middle income
1962,131.397849462365,10.5610066661673,5.1681521983372,5.39285446783012,92518377,,11230141177.2858,,4560724318.61966,IDN,Lower middle income
1963,145.910780669145,18.4181002243829,9.06881077038145,9.34928945400149,95015297,,10558067091.3893,,3348290651.22781,IDN,Lower middle income
1964,108.994708994709,25.3171654867877,12.2520501857433,13.0651153010444,97596733,,11815496026.3005,,3644350035.11879,IDN,Lower middle income
1965,306.763110307415,11.0122311261071,5.2762547448334,5.73597638127372,100267062,,12184052783.0835,,3348290651.22781,IDN,Lower middle income
1966,1136.2541122077,34.8528015194682,12.7572016460905,22.0955998733777,103025426,,12053973927.7444,,3207309992.23106,IDN,Lower middle income
1967,106,25.6428402925218,8.77565463552725,16.8671856569946,105865571,497382748.732514,12032294118.5213,955991035.87029,4109586209.82346,IDN,Lower middle income
1968,128.843042071197,26.4463204082606,10.8694615347928,15.5768588734678,108779924,769173673.299209,13289723053.4324,1102291012.28399,4391547527.81696,IDN,Lower middle income
1969,15.4798702151618,23.841059602649,9.0139808682855,14.8270787343635,111758563,751533742.331288,15154186646.5705,1236196319.0184,5258578580.66018,IDN,Lower middle income
1970,12.3994646487815,28.6826347305389,12.8443113772455,15.8383233532934,114793178,1175342465.75342,17842482990.1672,1449315068.49315,5900040579.11079,IDN,Lower middle income
1971,4.23374894488334,31.062091503268,14.4199346405229,16.6421568627451,117880144,1345889842.73232,19945424484.7602,1553301761.83894,6485110313.9495,IDN,Lower middle income
2011,5.3560477898215,50.1800131841104,26.3273530888836,23.8526600952268,245116206,235095130017.567,210580494701.809,212996886068.274,194580589887.624,IDN,Lower middle income
2012,4.27949999641976,49.5828982992627,24.5943787881769,24.9885195110858,248452413,225744402474.106,213968205777.507,229362101573.161,210143945615.288,IDN,Lower middle income
2013,6.41251330156414,48.6373726752893,23.9235763793605,24.7137962959288,251806402,218308408827.835,222884170003.921,225519356299.674,214056608724.735,IDN,Lower middle income
2014,6.39492540819922,48.0801755855227,23.6659845969367,24.414190988586,255129004,210820082760.734,225279371551.266,217485215697.145,218593971690.876,IDN,Lower middle income
2015,6.36312113115614,41.9376402415294,21.1601792598059,20.7774609817235,258383256,182158299305.401,220502908824.896,178863652800.161,204934010241.756,IDN,Lower middle income
2016,3.5258051568793,37.4213418023318,19.0889938536665,18.3323479486654,261554226,177886012771.598,216841439031.306,170835000855.915,200005115544.987,IDN,Lower middle income
2017,3.80879806953163,39.3627454902568,20.1885592572328,19.174186233024,264645886,204999366082.648,236160708875.792,194699184465.693,216117568912.859,IDN,Lower middle income
2018,3.19834641562404,43.0216641190178,20.9656940886152,22.0559700304026,267663435,218498866082.377,251459074117.776,229861430850.83,242136691333.646,IDN,Lower middle income
2019,,,,,,,,,,IDN,Lower middle income
1993,9.67189338180124,50.5233858882307,26.7548134217247,23.768572466506,190851175,42274397859.4989,73838133883.9591,37555937063.1049,68248383465.8135,IDN,Lower middle income
1994,8.53200525418844,51.877101049475,26.5114278515733,25.3656731979016,193917462,46896633113.5023,81178521887.741,44869883142.4274,82099541040.4695,IDN,Lower middle income
1995,9.42032321644617,53.9585900635426,26.3121650131426,27.6464250504,196934260,53185312942.0389,87446456039.5047,55882279823.789,99290370477.9177,IDN,Lower middle income
1996,7.97328085611421,52.264743657148,25.8245519820943,26.4401916750537,199901228,58717201041.7111,94057424786.616,60116979037.698,106106414715.16,IDN,Lower middle income
1997,6.22614163387585,55.9938588086777,27.8592432831317,28.134615525546,202826446,60106038403.5787,101393879483.258,60700151259.0363,121721008890.005,IDN,Lower middle income
1998,58.4510444723946,96.1861923602686,52.968134566078,43.2180577941907,205724592,50555726234.5501,112732934479.108,41249712041.6119,115281805298.885,IDN,Lower middle income
1999,20.4778311126401,62.9439128601924,35.5141290838601,27.4297837763323,208615169,49720260589.8075,76878245556.4027,38402067922.3448,68390656482.3923,IDN,Lower middle income
2000,3.68861915958351,71.4368759173731,40.9773084738704,30.4595674435027,211513823,67621169165.827,97239386578.3823,50264686469.7912,86127068980.9583,IDN,Lower middle income
2001,11.5001148791768,69.7932075256238,39.0321390955111,30.7610684301127,214427417,62625875833.9076,97866561423.7552,49355195402.1429,89727060786.7834,IDN,Lower middle income
2002,11.9001175663779,59.0794617663723,32.6876208878375,26.3918408785348,217357793,63956798804.501,96675593427.6642,51638437160.6839,85914151035.1657,IDN,Lower middle income
2003,6.7573171936285,53.6164937473016,30.4776547809661,23.1388389663355,220309469,71553141044.9888,102366286097.726,54323622341.4892,87257619529.8634,IDN,Lower middle income
2004,6.06405988526519,59.761294836691,32.2166946182599,27.5446002184312,223285676,82744351781.0167,116214735602.68,70744690513.6428,110514649801.512,IDN,Lower middle income
1992,7.52351717022744,57.4274341101528,30.3074635078275,27.1199706023253,187739786,38801726176.401,69260870662.0618,34720875699.535,65348387925.4139,IDN,Lower middle income
2006,13.1086720985297,56.6571268148867,31.0347163143166,25.6224105005701,229318262,113143424880.155,148253140170.084,93411753739.2281,141322449306.679,IDN,Lower middle income
2007,6.40656281325702,54.8292499782075,29.4357184851263,25.3935314930811,232374245,127226102177.005,160918375862.403,109755093425.227,154132281221.699,IDN,Lower middle income
2008,10.2266645473148,58.5613996312961,29.8082841673732,28.7531154639229,235469762,152090401421.802,176259465983.717,146706628549.322,169549466315.396,IDN,Lower middle income
2009,4.38641555014729,45.5121213687054,24.1591196686279,21.3530017000775,238620563,130357798591.185,159179680404.299,115216544854.096,144155272219.906,IDN,Lower middle income
2010,5.1342040076793,46.7012738758737,24.2990309366408,22.4022429392329,241834215,183480563627.391,183480563627.391,169158028224.496,169158028224.496,IDN,Lower middle income
2005,10.4531984193865,63.9879358688635,34.0672676279992,29.9206682408643,226289470,97387627234.8393,135507908993.007,85533800863.5511,130151940916.26,IDN,Lower middle income
2006,3.93163989540532,149.958964447509,79.0015708748446,70.9573935726644,4273591,183349585121.064,196919803708.427,164680379500.69,182864450527.447,IRL,High income
2007,4.89711564381346,153.293677102479,80.7824180853658,72.5112590171128,4398942,218046241582.261,214448535568.228,195720899124.008,199964600263.467,IRL,High income
2008,4.06030495117353,159.625155922192,84.1149719738456,75.5101839483462,4489544,231348890288.56,206292104035.255,207682376299.985,194393615765.103,IRL,High income
2010,-0.922095829024469,189.421701644393,103.019290182287,86.4024114621054,4560155,228856072932.63,228856072932.63,191941883351.537,191941883351.537,IRL,High income
2011,2.5571888318692,188.755762905901,103.791020586559,84.9647423193418,4580084,246474987998.536,236167246023.74,201767780344.675,197111798716.743,IRL,High income
2012,1.69620897294545,191.537017476589,104.509633606792,87.027383869797,4599533,235146136455.154,234108778642.815,195811164736.994,195262722574.217,IRL,High income
2009,-4.47810339150477,172.998737646637,93.2367060731826,79.7620315734548,4535375,220333632814.671,215881630433.871,188490766323.979,191083799340.579,IRL,High income
